drmin,drmax,selection,output_file,reduction_factor
0.01,0.4000,0.3589,wzp6_ee_Hmunumuqq_ecm125.root,0.05431
0.01,0.4000,0.3589,wzp6_ee_Hqqmunumu_ecm125.root,0.087613
0.01,0.4000,0.3589,wzp6_ee_Htaunutauqq_ecm125.root,0.698154
0.01,0.4000,0.3589,wzp6_ee_Hqqtaunutau_ecm125.root,0.742423
0.01,0.4000,0.3795,wzp6_ee_Henueqq_ecm125.root,0.06552333333333334
0.01,0.4000,0.3795,wzp6_ee_Hqqenue_ecm125.root,0.099663
0.01,0.4000,0.3795,wzp6_ee_Hmunumuqq_ecm125.root,0.052332
0.01,0.4000,0.3795,wzp6_ee_Hqqmunumu_ecm125.root,0.085712
0.01,0.4000,0.3795,wzp6_ee_Htaunutauqq_ecm125.root,0.69737
0.01,0.4000,0.3795,wzp6_ee_Hqqtaunutau_ecm125.root,0.7417
0.01,0.4000,0.4000,wzp6_ee_Henueqq_ecm125.root,0.06325
0.01,0.4000,0.4000,wzp6_ee_Hqqenue_ecm125.root,0.097432
0.01,0.4000,0.4000,wzp6_ee_Hmunumuqq_ecm125.root,0.050392
0.01,0.4000,0.4000,wzp6_ee_Hqqmunumu_ecm125.root,0.083913
0.01,0.4000,0.4000,wzp6_ee_Htaunutauqq_ecm125.root,0.696627
0.01,0.4000,0.4000,wzp6_ee_Hqqtaunutau_ecm125.root,0.741034
0.01,0.6000,0.0100,wzp6_ee_Henueqq_ecm125.root,0.40223555555555557
0.01,0.6000,0.0100,wzp6_ee_Hqqenue_ecm125.root,0.488142
0.01,0.6000,0.0100,wzp6_ee_Hmunumuqq_ecm125.root,0.356296
0.01,0.6000,0.0100,wzp6_ee_Hqqmunumu_ecm125.root,0.444236
0.01,0.6000,0.0100,wzp6_ee_Htaunutauqq_ecm125.root,0.802925
0.01,0.6000,0.0100,wzp6_ee_Hqqtaunutau_ecm125.root,0.845367
0.01,0.6000,0.0411,wzp6_ee_Henueqq_ecm125.root,0.2620777777777778
0.01,0.6000,0.0411,wzp6_ee_Hqqenue_ecm125.root,0.341522
0.01,0.6000,0.0411,wzp6_ee_Hmunumuqq_ecm125.root,0.231822
0.01,0.6000,0.0411,wzp6_ee_Hqqmunumu_ecm125.root,0.310009
0.01,0.6000,0.0411,wzp6_ee_Htaunutauqq_ecm125.root,0.770104
0.01,0.6000,0.0411,wzp6_ee_Hqqtaunutau_ecm125.root,0.819114
0.01,0.6000,0.0721,wzp6_ee_Henueqq_ecm125.root,0.21538888888888888
0.01,0.6000,0.0721,wzp6_ee_Hqqenue_ecm125.root,0.284137
0.01,0.6000,0.0721,wzp6_ee_Hmunumuqq_ecm125.root,0.188913
0.01,0.6000,0.0721,wzp6_ee_Hqqmunumu_ecm125.root,0.256446
0.01,0.6000,0.0721,wzp6_ee_Htaunutauqq_ecm125.root,0.755389
0.01,0.6000,0.0721,wzp6_ee_Hqqtaunutau_ecm125.root,0.804449
0.01,0.6000,0.1032,wzp6_ee_Henueqq_ecm125.root,0.18796
0.01,0.6000,0.1032,wzp6_ee_Hqqenue_ecm125.root,0.250876
0.01,0.6000,0.1032,wzp6_ee_Hmunumuqq_ecm125.root,0.164462
0.01,0.6000,0.1032,wzp6_ee_Hqqmunumu_ecm125.root,0.226018
0.01,0.6000,0.1032,wzp6_ee_Htaunutauqq_ecm125.root,0.746476
0.01,0.6000,0.1032,wzp6_ee_Hqqtaunutau_ecm125.root,0.794831
0.01,0.6000,0.1342,wzp6_ee_Henueqq_ecm125.root,0.1686911111111111
0.01,0.6000,0.1342,wzp6_ee_Hqqenue_ecm125.root,0.22881
0.01,0.6000,0.1342,wzp6_ee_Hmunumuqq_ecm125.root,0.147403
0.01,0.6000,0.1342,wzp6_ee_Hqqmunumu_ecm125.root,0.20593
0.01,0.6000,0.1342,wzp6_ee_Htaunutauqq_ecm125.root,0.740207
0.01,0.6000,0.1342,wzp6_ee_Hqqtaunutau_ecm125.root,0.787935
0.01,0.6000,0.1653,wzp6_ee_Henueqq_ecm125.root,0.1535922222222222
0.01,0.6000,0.1653,wzp6_ee_Hqqenue_ecm125.root,0.212499
0.01,0.6000,0.1653,wzp6_ee_Hmunumuqq_ecm125.root,0.134144
0.01,0.6000,0.1653,wzp6_ee_Hqqmunumu_ecm125.root,0.191519
0.01,0.6000,0.1653,wzp6_ee_Htaunutauqq_ecm125.root,0.735245
0.01,0.6000,0.1653,wzp6_ee_Hqqtaunutau_ecm125.root,0.782776
0.01,0.6000,0.1963,wzp6_ee_Henueqq_ecm125.root,0.14129111111111112
0.01,0.6000,0.1963,wzp6_ee_Hqqenue_ecm125.root,0.199972
0.01,0.6000,0.1963,wzp6_ee_Hmunumuqq_ecm125.root,0.1233
0.01,0.6000,0.1963,wzp6_ee_Hqqmunumu_ecm125.root,0.180559
0.01,0.6000,0.1963,wzp6_ee_Htaunutauqq_ecm125.root,0.731378
0.01,0.6000,0.1963,wzp6_ee_Hqqtaunutau_ecm125.root,0.778678
0.01,0.6000,0.2274,wzp6_ee_Henueqq_ecm125.root,0.13090888888888888
0.01,0.6000,0.2274,wzp6_ee_Hqqenue_ecm125.root,0.189671
0.01,0.6000,0.2274,wzp6_ee_Hmunumuqq_ecm125.root,0.113707
0.01,0.6000,0.2274,wzp6_ee_Hqqmunumu_ecm125.root,0.171705
0.01,0.6000,0.2274,wzp6_ee_Htaunutauqq_ecm125.root,0.728126
0.01,0.6000,0.2274,wzp6_ee_Hqqtaunutau_ecm125.root,0.775357
0.01,0.6000,0.2584,wzp6_ee_Henueqq_ecm125.root,0.12168888888888889
0.01,0.6000,0.2584,wzp6_ee_Hqqenue_ecm125.root,0.181286
